12009.94, 743.59
11936.49, 751.43
11862.43, 779.36
12047.01, 768.69
11886.86, 750.09
11834.08, 689.50
11899.12, 752.73
11868.91, 1017.64
12570.80, 694.38
11844.52, 766.27
11821.43, 805.06
11874.59, 693.33
11820.03, 667.57
11983.07, 806.30
11916.70, 680.47
11925.42, 683.54
11948.24, 680.84
12054.35, 679.36
11847.60, 818.89
11945.17, 819.37
12032.51, 674.97
11980.07, 705.26
11993.62, 680.01
11834.17, 803.45
11831.33, 680.22
11888.95, 812.29
11942.69, 681.42
12041.57, 1276.81
12309.47, 678.59
11743.30, 760.87
11829.00, 722.47
11924.88, 681.88
11780.52, 672.38
11778.06, 676.41
11778.15, 679.29
11787.43, 685.12
11775.11, 677.93
11794.67, 786.16
11794.09, 679.01
11931.14, 726.40
11797.63, 669.76
11787.03, 676.24
12954.25, 683.71
11793.95, 743.90
11734.93, 670.84
11910.65, 680.36
11895.62, 676.64
11928.67, 766.10
11812.17, 678.02
11841.73, 675.57
11864.59, 676.32
11735.44, 752.63
11691.71, 677.21
11900.12, 680.79
11872.42, 676.81
11752.94, 751.67
11739.98, 675.12
13442.85, 1092.95
12245.43, 786.03
11855.25, 677.02
11937.18, 778.56
11946.76, 675.80
11915.15, 674.07
12135.30, 787.29
11935.41, 674.03
13592.82, 732.89
12055.61, 759.47
12628.93, 782.54
12091.42, 675.94
11937.33, 675.39
11938.95, 673.84
11946.05, 671.38
11766.58, 762.31
11878.58, 738.50
11846.92, 668.48
11907.62, 676.17
11795.97, 770.84
11922.61, 673.27
11977.30, 825.62
11862.49, 667.00
11812.61, 671.43
11900.06, 709.99
11964.54, 682.58
11879.51, 671.05
11899.40, 673.44
11864.13, 779.17
11948.69, 673.85
11884.00, 668.10
11764.82, 714.87
11988.93, 676.54
11919.75, 707.90
11767.06, 669.73
11881.81, 780.20
12058.86, 676.62
12047.96, 690.94
11869.38, 715.71
11912.50, 730.53
11957.64, 780.17
11930.77, 892.44
11924.10, 676.12
12017.49, 746.25
11850.53, 726.92
11948.02, 740.25
11957.56, 724.05
11932.79, 675.45
11943.21, 739.11
12196.08, 861.27
12397.99, 681.17
11933.75, 672.30
11948.06, 680.26
11930.41, 680.83
11739.31, 671.23
11870.63, 669.34
11987.03, 688.55
11824.35, 700.36
11868.44, 737.48
11851.20, 666.99
11896.51, 714.94
11965.95, 729.80
11824.65, 760.24
11736.29, 670.64
12893.62, 718.25
11763.66, 660.37
12031.78, 830.44
11954.73, 676.97
11895.03, 781.90
11937.10, 669.93
11756.13, 678.35
11847.38, 672.18
11971.93, 677.51
11840.23, 682.57
11919.96, 669.63
12016.30, 677.33
11931.19, 676.27
11816.62, 770.15
11869.84, 671.69
13147.69, 834.30
11902.75, 677.31
11871.11, 722.71
11881.55, 786.88
11889.28, 683.06
11826.03, 713.18
12068.11, 740.31
11930.51, 677.36
13185.66, 694.41
12042.33, 680.75
12607.38, 694.78
12121.68, 686.49
12025.01, 681.94
11877.21, 732.83
11864.87, 667.13
11757.81, 683.15
11774.57, 675.82
11792.21, 697.99
11734.23, 676.91
11804.77, 671.16
11750.39, 674.10
11959.99, 867.52
11734.23, 664.98
11766.32, 678.93
11820.26, 673.80
12018.34, 744.61
11890.82, 677.54
12468.21, 741.72
11951.54, 751.35
11875.00, 735.00
11762.84, 756.95
11685.61, 817.40
11853.53, 677.16
11998.12, 743.07
11876.49, 675.14
12121.85, 816.81
11850.12, 676.15
12041.30, 855.27
12055.96, 677.12
12684.26, 675.45
11883.52, 679.42
11846.68, 752.84
11834.62, 786.05
12026.08, 678.73
11944.44, 814.36
11803.20, 675.97
11917.47, 762.38
11943.95, 681.09
12069.84, 744.34
12314.70, 1744.13
12019.98, 675.45
11857.24, 715.80
11900.95, 775.81
11858.13, 744.27
11682.47, 675.90
11732.29, 674.48
11854.02, 682.52
11729.59, 701.23
11784.03, 673.18
11799.08, 672.91
11839.87, 827.81
11881.00, 735.14
11720.37, 669.33
11740.71, 755.89
12799.17, 678.69
11767.70, 699.61
11814.73, 807.54
12918.64, 766.34
11908.21, 740.40
12073.73, 723.14
11777.55, 757.29
11879.93, 735.78
11933.81, 676.68
11824.05, 835.95
11839.58, 674.76
12135.98, 706.45
12142.61, 680.74
11811.22, 670.25
11730.52, 676.80
14174.56, 681.30
11853.58, 785.17
11927.54, 676.24
11958.52, 729.05
11949.41, 672.57
12290.85, 832.86
12772.82, 703.89
12272.64, 1134.71
14165.94, 866.02
12465.68, 1279.44
12015.09, 740.69
11894.04, 689.24
11962.56, 693.81
11996.53, 675.77
11835.44, 771.13
11827.06, 665.84
11800.06, 672.79
11928.39, 675.74
11869.33, 691.32
11883.77, 675.18
11853.12, 680.27
11970.79, 696.66
11770.85, 669.03
11900.16, 738.20
11832.74, 669.49
12037.84, 727.88
12171.52, 922.54
12288.62, 754.05
11937.35, 676.58
11862.63, 730.79
11826.70, 769.36
11826.76, 701.59
11873.25, 668.91
11889.62, 779.38
12009.04, 787.83
11906.65, 743.66
11946.00, 674.40
12086.09, 681.09
12016.37, 681.39
11906.48, 708.85
11822.61, 674.46
11956.53, 674.59
11980.31, 678.67
11919.90, 804.54
12052.97, 678.35
12031.11, 679.21
11990.16, 711.06
11989.62, 679.44
12008.18, 1123.65
12699.43, 682.61
11889.72, 780.67
12153.58, 787.38
12011.27, 682.45
11875.14, 674.48
11901.71, 676.02
11830.31, 775.11
11829.49, 758.05
11850.58, 669.56
11873.90, 673.52
11891.67, 726.59
11801.41, 703.68
11894.53, 676.82
11870.06, 674.80
12380.58, 744.50
11979.59, 674.12
11786.93, 684.61
11787.41, 676.78
11769.44, 682.09
11884.30, 694.19
11807.02, 691.97
11768.59, 673.65
11779.81, 678.87
11765.10, 677.44
11806.32, 673.04
11864.06, 673.84
11913.12, 684.27
11882.61, 679.04
11846.53, 777.76
12623.90, 915.28
12169.98, 700.00
11891.84, 681.11
11914.01, 729.29
11849.27, 728.25
11822.06, 742.81
12620.28, 814.36
12091.58, 688.54
13808.21, 1671.57
11976.64, 693.37
12582.63, 696.97
11801.99, 769.91
11891.00, 686.95
11948.67, 681.61
12076.49, 776.10
11897.85, 685.36
11902.72, 787.56
11841.09, 764.32
11976.53, 683.93
11875.65, 695.42
11845.35, 684.92
11882.03, 736.62
11975.87, 686.92
11944.76, 737.77
11877.90, 740.27
11970.12, 708.00
11901.03, 707.20
11801.19, 745.10
11985.26, 730.84
11893.37, 754.99
11898.06, 797.29
11885.23, 705.48
11866.88, 677.88
11870.96, 739.07
11847.14, 685.65
12010.99, 781.24
11915.86, 689.06
11992.14, 692.15
12612.31, 781.49
11967.87, 691.03
11937.44, 685.39
11856.91, 770.71
11881.49, 775.71
11918.43, 680.52
11992.14, 701.06
12107.97, 701.61
12115.34, 787.68
11786.22, 686.86
12102.53, 951.66
12445.30, 1561.62
12034.88, 690.52
11926.04, 693.86
11902.58, 689.22
11935.89, 691.34
11911.81, 693.91
11817.17, 680.10
12015.88, 685.93
11771.38, 749.84
11871.34, 746.83
11877.89, 683.77
12015.89, 685.81
11874.63, 691.20
11949.04, 748.13
11717.93, 688.49
11954.51, 688.75
13785.01, 1101.53
12150.61, 831.32
12073.39, 694.95
11982.38, 838.44
12137.70, 763.76
11866.86, 685.38
11855.84, 692.57
11882.29, 715.56
11841.17, 684.13
11900.87, 709.16
12107.61, 692.50
11793.84, 788.79
11915.95, 775.65
12077.45, 848.45
13198.42, 741.57
11879.44, 688.76
11942.82, 693.18
11968.60, 694.39
11853.73, 799.21
12185.90, 786.82
12000.15, 775.87
11950.25, 688.77
13615.00, 810.98
12233.08, 1504.34
15210.67, 716.63
12279.56, 695.69
11899.15, 689.85
11952.39, 796.78
11807.52, 787.36
11835.63, 682.17
11908.14, 676.04
11881.42, 784.00
11888.00, 686.49
11867.00, 783.53
12345.41, 768.98
12010.09, 692.77
11873.87, 729.99
11885.08, 688.21
11850.44, 802.76
11961.46, 797.45
11894.89, 844.73
11929.11, 735.66
11829.71, 749.46
11893.64, 809.71
11856.14, 728.77
11948.28, 680.76
11914.14, 718.55
11823.20, 690.68
12067.11, 793.51
11889.62, 690.88
11900.38, 698.45
13465.06, 810.72
11919.10, 689.20
11996.10, 746.33
12168.09, 693.08
11972.89, 735.50
11908.83, 759.63
11869.16, 723.49
12158.36, 780.39
12521.59, 706.74
11934.18, 688.76
12132.23, 700.55
12833.85, 821.95
13270.30, 785.83
12351.45, 732.89
13113.39, 703.49
12315.19, 774.29
12314.26, 760.42
12552.19, 877.57
12481.56, 830.01
12366.43, 763.32
12167.48, 690.97
11845.75, 798.87
11876.73, 685.92
12015.30, 690.84
11885.36, 689.31
12601.49, 736.07
11843.17, 690.84
11895.06, 783.25
11956.42, 696.18
12203.79, 865.27
12477.43, 781.36
12508.75, 736.16
12399.28, 783.95
12380.39, 805.46
12380.73, 904.75
12316.95, 781.28
12041.20, 831.59
12127.78, 742.55
12171.50, 780.81
12114.51, 920.92
13292.45, 694.39
12024.60, 876.59
12151.17, 902.14
12144.03, 708.07
12147.08, 823.90
12343.04, 1142.37
12518.65, 736.60
13321.39, 1201.22
13147.36, 867.04
12819.12, 854.84
12831.67, 851.98
12608.99, 709.91
12453.38, 700.22
12162.43, 696.58
12692.61, 1283.21
12884.08, 1978.90
12819.99, 1537.79
12426.34, 1318.77
12401.08, 693.39
11895.82, 689.43
11956.42, 746.39
11859.53, 764.24
11818.90, 679.31
12074.16, 796.02
11976.61, 689.97
11935.44, 755.14
11892.48, 683.87
12003.19, 681.00
11925.16, 688.24
11952.89, 693.34
11889.04, 737.84
11873.08, 681.71
11845.03, 714.23
12028.52, 687.48
11853.94, 784.24
11908.38, 683.28
12004.23, 868.67
11959.60, 689.78
11926.69, 753.82
11980.62, 805.31
11908.98, 742.12
12007.10, 687.69
11880.74, 799.08
11902.55, 690.47
12041.09, 689.94
11941.84, 749.74
12012.36, 700.79
11918.87, 689.31
12071.64, 690.75
11924.42, 788.89
11888.75, 747.41
